kata-analysis/80F1E0CDE5-C-NTH-starfish-34, signal, date, time, seconds, minutes, total seconds, total minutes
  1, amber, 2018-01-07, 15:22:17,      0,      0.0,      0,      0.0
  2, amber, 2018-01-07, 15:23:02,     45,      0.0,     45,      0.0
  3, amber, 2018-01-07, 15:23:50,     48,      0.0,     93,      1.0
  4, red  , 2018-01-07, 15:29:41,    351,      5.0,    444,      7.0
  5, red  , 2018-01-07, 15:29:59,     18,      0.0,    462,      7.0
  6, amber, 2018-01-07, 15:30:02,      3,      0.0,    465,      7.0
  7, red  , 2018-01-07, 15:31:06,     64,      1.0,    529,      8.0
  8, red  , 2018-01-07, 15:31:39,     33,      0.0,    562,      9.0
  9, red  , 2018-01-07, 15:32:23,     44,      0.0,    606,     10.0
 10, red  , 2018-01-07, 15:33:32,     69,      1.0,    675,     11.0
 11, amber, 2018-01-07, 15:34:53,     81,      1.0,    756,     12.0
 12, red  , 2018-01-07, 15:35:11,     18,      0.0,    774,     12.0
 13, red  , 2018-01-07, 15:35:53,     42,      0.0,    816,     13.0
 14, red  , 2018-01-07, 15:36:21,     28,      0.0,    844,     14.0
 15, red  , 2018-01-07, 15:37:18,     57,      0.0,    901,     15.0
 16, red  , 2018-01-07, 15:42:28,    310,      5.0,   1211,     20.0
 17, red  , 2018-01-07, 15:42:58,     30,      0.0,   1241,     20.0
 18, amber, 2018-01-07, 15:43:27,     29,      0.0,   1270,     21.0
 19, red  , 2018-01-07, 15:43:45,     18,      0.0,   1288,     21.0
 20, red  , 2018-01-07, 15:44:50,     65,      1.0,   1353,     22.0
 21, amber, 2018-01-07, 15:45:26,     36,      0.0,   1389,     23.0
 22, red  , 2018-01-07, 15:45:51,     25,      0.0,   1414,     23.0
 23, amber, 2018-01-07, 15:54:18,    507,      8.0,   1921,     32.0
 24, red  , 2018-01-07, 15:55:22,     64,      1.0,   1985,     33.0
 25, red  , 2018-01-07, 15:57:07,    105,      1.0,   2090,     34.0
 26, red  , 2018-01-07, 15:57:45,     38,      0.0,   2128,     35.0
 27, red  , 2018-01-07, 15:58:44,     59,      0.0,   2187,     36.0
 28, red  , 2018-01-07, 15:59:06,     22,      0.0,   2209,     36.0
 29, red  , 2018-01-07, 16:01:20,    134,      2.0,   2343,     39.0
 30, red  , 2018-01-07, 16:03:31,    131,      2.0,   2474,     41.0
 31, red  , 2018-01-07, 16:04:45,     74,      1.0,   2548,     42.0
 32, red  , 2018-01-07, 16:05:04,     19,      0.0,   2567,     42.0
 33, red  , 2018-01-07, 16:05:45,     41,      0.0,   2608,     43.0
 34, green, 2018-01-07, 16:06:47,     62,      1.0,   2670,     44.0
