kata-analysis/C0E111DE2A-C-CppUTest-swan-52, signal, date, time, seconds, minutes, total seconds, total minutes, discontinuity
  1, red  , 2018-05-14, 07:07:51,      0,      0.0,      0,      0.0
  2, green, 2018-05-14, 07:13:14,    323,      5.0,    323,      5.0
  3, red  , 2018-05-14, 07:27:20,    846,     14.0,   1169,     19.0
  4, red  , 2018-05-14, 07:31:44,    264,      4.0,   1433,     23.0
  5, red  , 2018-05-14, 07:33:17,     93,      1.0,   1526,     25.0
  6, amber, 2018-05-14, 07:35:41,    144,      2.0,   1670,     27.0
  7, amber, 2018-05-14, 07:36:03,     22,      0.0,   1692,     28.0
  8, amber, 2018-05-14, 07:36:26,     23,      0.0,   1715,     28.0
  9, red  , 2018-05-14, 07:37:44,     78,      1.0,   1793,     29.0
 10, red  , 2018-05-14, 07:39:52,    128,      2.0,   1921,     32.0
 11, red  , 2018-05-14, 07:40:26,     34,      0.0,   1955,     32.0
 12, red  , 2018-05-14, 07:41:14,     48,      0.0,   2003,     33.0
 13, red  , 2018-05-14, 07:49:11,    477,      7.0,   2480,     41.0
 14, green, 2018-05-14, 07:51:06,    115,      1.0,   2595,     43.0
 15, amber, 2018-05-14, 07:57:10,    364,      6.0,   2959,     49.0
 16, amber, 2018-05-14, 07:58:05,     55,      0.0,   3014,     50.0
 17, red  , 2018-05-14, 07:58:22,     17,      0.0,   3031,     50.0
 18, green, 2018-05-14, 07:59:49,     87,      1.0,   3118,     51.0
 19, red  , 2018-05-14, 08:00:44,     55,      0.0,   3173,     52.0
 20, green, 2018-05-14, 08:13:52,    788,     13.0,   3961,     66.0
 21, amber, 2018-05-14, 08:14:56,     64,      1.0,   4025,     67.0
 22, red  , 2018-05-14, 08:15:23,     27,      0.0,   4052,     67.0
 23, red  , 2018-05-14, 08:15:37,     14,      0.0,   4066,     67.0
 24, green, 2018-05-14, 08:15:57,     20,      0.0,   4086,     68.0
 25, amber, 2018-05-14, 08:40:52,   1495,     24.0,   5581,     93.0
 26, red  , 2018-05-14, 08:42:06,     74,      1.0,   5655,     94.0
 27, green, 2018-05-14, 08:44:43,    157,      2.0,   5812,     96.0
 28, red  , 2018-05-14, 08:49:35,    292,      4.0,   6104,    101.0
 29, green, 2018-05-14, 08:53:12,    217,      3.0,   6321,    105.0
 30, red  , 2018-05-14, 08:55:24,    132,      2.0,   6453,    107.0
 31, red  , 2018-05-14, 08:57:35,    131,      2.0,   6584,    109.0
 32, green, 2018-05-14, 09:02:07,    272,      4.0,   6856,    114.0
 33, red  , 2018-05-14, 09:07:23,    316,      5.0,   7172,    119.0
 34, green, 2018-05-14, 09:08:00,     37,      0.0,   7209,    120.0
 35, green, 2018-05-14, 09:15:02,    422,      7.0,   7631,    127.0
 36, amber, 2018-05-14, 09:27:35,    753,     12.0,   8384,    139.0
 37, amber, 2018-05-14, 09:28:26,     51,      0.0,   8435,    140.0
 38, amber, 2018-05-14, 09:29:25,     59,      0.0,   8494,    141.0
 39, red  , 2018-05-14, 09:30:02,     37,      0.0,   8531,    142.0
 40, red  , 2018-05-14, 09:30:19,     17,      0.0,   8548,    142.0
 41, red  , 2018-05-14, 09:33:47,    208,      3.0,   8756,    145.0
 42, green, 2018-05-14, 09:34:13,     26,      0.0,   8782,    146.0
 43, amber, 2018-05-14, 09:36:07,    114,      1.0,   8896,    148.0
 44, green, 2018-05-14, 09:36:38,     31,      0.0,   8927,    148.0
 45, green, 2018-05-14, 09:38:58,    140,      2.0,   9067,    151.0
 46, amber, 2018-05-14, 09:45:12,    374,      6.0,   9441,    157.0
 47, green, 2018-05-14, 09:45:35,     23,      0.0,   9464,    157.0
 48, red  , 2018-05-15, 06:42:56,  75441,   1257.0,  84905,   1415.0
 49, green, 2018-05-15, 06:52:02,    546,      9.0,  85451,   1424.0
 50, green, 2018-05-15, 07:38:22,   2780,     46.0,   1831,     30.0
 51, green, 2018-05-15, 08:11:22,   1980,     33.0,   3811,     63.0
 52, green, 2018-05-15, 08:11:44,     22,      0.0,   3833,     63.0
