kata-analysis/CA267C2961-C-CppUTest-cheetah-71, signal, date, time, seconds, minutes, total seconds, total minutes
  1, red  , 2018-02-12, 00:18:06,      0,      0.0,      0,      0.0
  2, amber, 2018-02-12, 00:26:46,    520,      8.0,    520,      8.0
  3, amber, 2018-02-12, 00:30:34,    228,      3.0,    748,     12.0
  4, amber, 2018-02-12, 00:31:29,     55,      0.0,    803,     13.0
  5, amber, 2018-02-12, 00:32:53,     84,      1.0,    887,     14.0
  6, amber, 2018-02-12, 00:36:30,    217,      3.0,   1104,     18.0
  7, amber, 2018-02-12, 00:37:57,     87,      1.0,   1191,     19.0
  8, amber, 2018-02-12, 00:45:16,    439,      7.0,   1630,     27.0
  9, amber, 2018-02-12, 00:51:52,    396,      6.0,   2026,     33.0
 10, amber, 2018-02-12, 00:56:10,    258,      4.0,   2284,     38.0
 11, amber, 2018-02-12, 01:06:05,    595,      9.0,   2879,     47.0
 12, amber, 2018-02-12, 01:07:27,     82,      1.0,   2961,     49.0
 13, green, 2018-02-12, 01:08:19,     52,      0.0,   3013,     50.0
 14, amber, 2018-02-12, 01:13:11,    292,      4.0,   3305,     55.0
 15, red  , 2018-02-12, 01:14:49,     98,      1.0,   3403,     56.0
 16, green, 2018-02-12, 01:15:26,     37,      0.0,   3440,     57.0
 17, green, 2018-02-12, 01:18:54,    208,      3.0,   3648,     60.0
 18, red  , 2018-02-12, 01:22:01,    187,      3.0,   3835,     63.0
 19, amber, 2018-02-12, 01:24:04,    123,      2.0,   3958,     65.0
 20, amber, 2018-02-12, 01:24:29,     25,      0.0,   3983,     66.0
 21, amber, 2018-02-12, 01:25:05,     36,      0.0,   4019,     66.0
 22, amber, 2018-02-12, 01:26:36,     91,      1.0,   4110,     68.0
 23, green, 2018-02-12, 01:27:13,     37,      0.0,   4147,     69.0
 24, green, 2018-02-12, 01:28:01,     48,      0.0,   4195,     69.0
 25, amber, 2018-02-12, 01:36:13,    492,      8.0,   4687,     78.0
 26, amber, 2018-02-12, 01:37:13,     60,      1.0,   4747,     79.0
 27, amber, 2018-02-12, 01:37:36,     23,      0.0,   4770,     79.0
 28, amber, 2018-02-12, 01:38:48,     72,      1.0,   4842,     80.0
 29, green, 2018-02-12, 01:39:45,     57,      0.0,   4899,     81.0
 30, amber, 2018-02-12, 01:40:59,     74,      1.0,   4973,     82.0
 31, green, 2018-02-12, 01:42:32,     93,      1.0,   5066,     84.0
 32, red  , 2018-02-12, 01:43:02,     30,      0.0,   5096,     84.0
 33, amber, 2018-02-12, 01:47:37,    275,      4.0,   5371,     89.0
 34, green, 2018-02-12, 01:48:14,     37,      0.0,   5408,     90.0
 35, green, 2018-02-12, 01:48:54,     40,      0.0,   5448,     90.0
 36, red  , 2018-02-12, 01:49:54,     60,      1.0,   5508,     91.0
 37, amber, 2018-02-12, 02:01:32,    698,     11.0,   6206,    103.0
 38, amber, 2018-02-12, 02:02:07,     35,      0.0,   6241,    104.0
 39, amber, 2018-02-12, 02:02:46,     39,      0.0,   6280,    104.0
 40, green, 2018-02-12, 02:03:33,     47,      0.0,   6327,    105.0
 41, amber, 2018-02-12, 02:13:13,    580,      9.0,   6907,    115.0
 42, amber, 2018-02-12, 17:23:05,  54592,    909.0,  61499,   1024.0
 43, amber, 2018-02-12, 17:24:26,     81,      1.0,  61580,   1026.0
 44, amber, 2018-02-12, 17:25:00,     34,      0.0,  61614,   1026.0
 45, green, 2018-02-12, 17:25:54,     54,      0.0,  61668,   1027.0
 46, red  , 2018-02-12, 17:27:21,     87,      1.0,  61755,   1029.0
 47, red  , 2018-02-12, 17:30:58,    217,      3.0,  61972,   1032.0
 48, amber, 2018-02-12, 17:36:49,    351,      5.0,  62323,   1038.0
 49, amber, 2018-02-12, 17:37:36,     47,      0.0,  62370,   1039.0
 50, amber, 2018-02-12, 17:39:29,    113,      1.0,  62483,   1041.0
 51, amber, 2018-02-12, 17:41:07,     98,      1.0,  62581,   1043.0
 52, amber, 2018-02-12, 17:41:25,     18,      0.0,  62599,   1043.0
 53, red  , 2018-02-12, 17:41:49,     24,      0.0,  62623,   1043.0
 54, red  , 2018-02-12, 17:44:52,    183,      3.0,  62806,   1046.0
 55, green, 2018-02-12, 17:47:27,    155,      2.0,  62961,   1049.0
 56, red  , 2018-02-12, 17:51:03,    216,      3.0,  63177,   1052.0
 57, green, 2018-02-12, 17:53:26,    143,      2.0,  63320,   1055.0
 58, red  , 2018-02-12, 17:54:34,     68,      1.0,  63388,   1056.0
 59, red  , 2018-02-12, 17:55:31,     57,      0.0,  63445,   1057.0
 60, green, 2018-02-12, 17:58:18,    167,      2.0,  63612,   1060.0
 61, green, 2018-02-12, 18:00:35,    137,      2.0,  63749,   1062.0
 62, green, 2018-02-12, 18:04:37,    242,      4.0,  63991,   1066.0
 63, green, 2018-02-12, 18:05:07,     30,      0.0,  64021,   1067.0
 64, green, 2018-02-12, 18:08:36,    209,      3.0,  64230,   1070.0
 65, green, 2018-02-12, 18:10:04,     88,      1.0,  64318,   1071.0
 66, green, 2018-02-12, 18:11:11,     67,      1.0,  64385,   1073.0
 67, green, 2018-02-12, 18:19:46,    515,      8.0,  64900,   1081.0
 68, green, 2018-02-12, 18:37:59,   1093,     18.0,  65993,   1099.0
 69, green, 2018-02-12, 18:39:24,     85,      1.0,  66078,   1101.0
 70, green, 2018-02-12, 18:43:15,    231,      3.0,  66309,   1105.0
 71, green, 2018-02-12, 18:46:51,    216,      3.0,  66525,   1108.0
